Bending Stress Design,Deflection Design,Dt
6.29,6.18,170
6.34,6.19,169
6.39,6.21,168
6.44,6.23,167
6.5,6.25,166
6.55,6.26,165
6.6,6.28,164
6.66,6.3,163
6.71,6.32,162
6.77,6.34,161
6.82,6.37,160
6.88,6.39,159
6.94,6.41,158
6.99,6.43,157
7.05,6.46,156
7.11,6.48,155
7.17,6.5,154
7.23,6.53,153
7.29,6.56,152
7.35,6.58,151
7.42,6.61,150
7.48,6.64,149
7.54,6.67,148
7.61,6.7,147
7.67,6.73,146
7.74,6.76,145
7.8,6.79,144
7.87,6.83,143
7.94,6.86,142
8.01,6.89,141
8.08,6.93,140
8.15,6.97,139
8.22,7.01,138
8.29,7.05,137
8.37,7.09,136
8.44,7.13,135
8.52,7.17,134
8.59,7.22,133
8.67,7.26,132
8.75,7.31,131
8.83,7.36,130
8.91,7.41,129
8.99,7.46,128
9.07,7.51,127
9.16,7.57,126
9.25,7.63,125
9.33,7.69,124
9.42,7.75,123
9.51,7.81,122
9.6,7.87,121
9.7,7.94,120
9.79,8.01,119
9.89,8.08,118
9.99,8.16,117
10.09,8.23,116
10.19,8.31,115
10.29,8.4,114
10.4,8.48,113
10.51,8.57,112
10.62,8.66,111
10.73,8.76,110
10.84,8.86,109
10.96,8.96,108
11.08,9.07,107
11.21,9.18,106
11.33,9.29,105
11.46,9.41,104
11.59,9.54,103
11.73,9.67,102
11.87,9.8,101
12.01,9.94,100
12.16,10.09,99
12.31,10.24,98
12.46,10.4,97
12.62,10.56,96
12.79,10.73,95
12.96,10.91,94
13.13,11.1,93
13.31,11.29,92
13.49,11.5,91
13.68,11.71,90
13.88,11.94,89
14.08,12.17,88
14.3,12.42,87
14.51,12.67,86
14.74,12.94,85
14.97,13.22,84
15.21,13.52,83
15.46,13.83,82
15.72,14.16,81
15.99,14.5,80
16.28,14.86,79
16.57,15.24,78
16.87,15.64,77
17.19,16.06,76
17.52,16.51,75
17.86,16.98,74
18.22,17.48,73
18.59,18,72
18.98,18.56,71
19.39,19.14,70
19.82,19.77,69
20.27,20.43,68
20.73,21.13,67
21.23,21.87,66
21.74,22.67,65
22.28,23.51,64
22.85,24.41,63
23.45,25.37,62
24.07,26.39,61
24.74,27.49,60
25.43,28.66,59
26.17,29.91,58
26.95,31.26,57
27.77,32.71,56
28.64,34.26,55
29.56,35.93,54
30.53,37.74,53
31.57,39.69,52
32.67,41.8,51
33.84,44.09,50
35.08,46.56,49
36.41,49.26,48
37.83,52.19,47
39.34,55.4,46
40.96,58.89,45
42.7,62.73,44
44.57,66.93,43
46.57,71.56,42
48.73,76.66,41
51.06,82.29,40
53.57,88.54,39
56.3,95.48,38
59.25,103.21,37
62.46,111.85,36
65.96,121.54,35
69.79,132.44,34
73.98,144.74,33
78.57,158.68,32
83.64,174.54,31
